id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_pupuk,volume,satuan,tahun,jenis_pupuk_encoded,volume_normalized,volume_standardized,delta,cluster
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,UREA,13997.76,TON,2021,4,0.19928519199360364,0.2800976881029335,,0
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ZA,611.57,TON,2021,5,0.008706882020232395,-0.639173769940613,,0
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,NPK,9248.44,TON,2021,0,0.1316694343267297,-0.04605294334002199,,0
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,UREA,30280.38,TON,2021,4,0.43109978610429645,1.3982760366971947,,0
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ZA,784.26,TON,2021,5,0.011165458235667964,-0.6273146085145807,,0
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NPK,28340.22,TON,2021,0,0.40347785530263175,1.2650391924541526,,0
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,UREA,32421.99,TON,2021,4,0.46158974735705555,1.545347081352966,,2
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ZA,2430.43,TON,2021,5,0.03460187266941383,-0.5142669753876383,,2
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NPK,24773.41,TON,2021,0,0.3526974150282803,1.020095214424235,,2
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,UREA,21076.22,TON,2021,4,0.30006076323636277,0.7661976347571289,,2
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ZA,3862.27,TON,2021,5,0.054986884935956576,-0.41593805248387916,,2
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NPK,11250.1,TON,2021,0,0.16016693659894443,0.09140729790169393,,2
13,32,JAWA BARAT,3205,KABUPATEN GARUT,UREA,54649.96,TON,2021,4,0.778047899881321,3.071811175411709,,2
14,32,JAWA BARAT,3205,KABUPATEN GARUT,ZA,14538.78,TON,2021,5,0.20698765828623758,0.3172512205293162,,2
15,32,JAWA BARAT,3205,KABUPATEN GARUT,NPK,45548.42,TON,2021,0,0.6484698712297751,2.446780009244065,,2
